id,type,size
143129355,organization,1
2591586,organization,1
185040354,organization,1
Faroe Islands Shrimp Shark,company,20
341411,organization,30
âŠâ,Uncategorized,1
128692,organization,2
967900443,organization,2
1,organization,2
4,organization,1
4975,organization,2
0,organization,1
664738735,organization,1
290834957,organization,1
457009514,organization,2
526269,organization,2
99575926,organization,1
9067,organization,1
3404599,organization,1
3506021,organization,3
47679,organization,3
425887173,organization,1
2,organization,2
5,organization,1
7298083,organization,2
6,organization,3
8698,organization,1
964,organization,1
2262,organization,5
St,Uncategorized,2
380,organization,2
79139,organization,2
66538530,organization,2
58,organization,2
Armed Robberyâ,Uncategorized,1
76,organization,1
6731,organization,5
83,organization,3
665,organization,2
12,organization,4
27,organization,2
Turkish Sword Buoy Incorporated Forwading,company,3
947,organization,1
21538,organization,2
860600018,organization,6
435054320,organization,10
Sept,Uncategorized,14
94,organization,1
760079,organization,1
80191,organization,1
865275,organization,3
518,organization,1
23,organization,6
png xi  Line,company,55
15910405,organization,1
48605,organization,2
439861274,organization,1
908724,organization,1
733,organization,1
277983365,organization,2
Playa del Cielo Kga,company,29
164575,organization,1
235866056,organization,1
486,organization,1
2198,organization,1
743225,organization,2
529,organization,1
47924922,organization,3
49,organization,2
9488645,organization,7
âlocalâ,Uncategorized,1
53073557,organization,1
34,organization,4
31408,organization,1
5639000,organization,3
951093,organization,1
86590543,organization,1
Playa de la Luna Ltd. Corporation,company,1
44,organization,1
41,organization,2
2125,organization,1
59,organization,1
Mar del Oeste Pic,company,48
5495,organization,1
83818120,organization,1
40213337,organization,2
7505050,organization,4
8787,organization,2
7691,organization,1
98332,organization,1
78565892,organization,1
2243528,organization,1
544344,organization,1
âartisanalâ,Uncategorized,6
âsubsistenceâ,Uncategorized,5
553309,organization,4
EBSCOhostâsearched âoctopus,Uncategorized,5
AND fisheryâ,Uncategorized,5
515270,organization,4
artisanalâ,Uncategorized,5
âoctopusâ,Uncategorized,4
âcephalopodâ,Uncategorized,5
cyaneaâ,Uncategorized,5
mayaâ,Uncategorized,5
âpolvoâ,Uncategorized,5
âlivelihoodâ,Uncategorized,6
folkâ,Uncategorized,5
âwomenâ,Uncategorized,5
âfisherâ,Uncategorized,6
managementâ,Uncategorized,5
âo,Uncategorized,4
âpoulpeâ,Uncategorized,5
scaleâ,Uncategorized,5
7670,organization,1
5441,organization,4
199442,organization,5
13863,organization,1
35683821,organization,1
19386200,organization,2
451,organization,1
802113,organization,2
Zambezi Rapids NV Brothers,company,2
25652724,organization,2
49729,organization,2
861,organization,1
883290144,organization,2
48,organization,2
505943,organization,2
90183,organization,2
79538,organization,3
43685541,organization,6
DiÃ,Uncategorized,1
Senegal Coast Oyj Motorboat,company,1
84,organization,1
591787,organization,1
âsinkâ,Uncategorized,1
555217629,organization,10
âdegradedâ,Uncategorized,2
âcollaborativeâ,Uncategorized,1
Diao er Ltd. Corporation Transport,company,1
243964,organization,1
Turkish Sword Ltd Export,company,1
ââ,Uncategorized,9
482048,organization,1
70,organization,2
56,organization,1
3016,organization,3
98703,organization,1
567,organization,1
990,organization,2
341853,organization,1
979893388,organization,29
Marine Mermaids CJSC Marine biology,company,1
4698,organization,1
89734,organization,1
97,organization,1
1094345,organization,1
685607,organization,1
xu y Ltd. Corporation,company,1
89035,organization,1
30700925,organization,1
492238508,organization,1
4447143,organization,1
1360,organization,2
830155,organization,1
9590898,organization,1
884648,organization,1
90,organization,2
353149780,organization,1
6038,organization,1
6758207,organization,1
824,organization,2
Dry Creek Marine sanctuary,company,1
7548555,organization,1
54217974,organization,3
38,organization,12
38844,organization,1
24189,organization,1
891,organization,2
16,organization,6
73704,organization,1
6780,organization,2
863749817,organization,1
475,organization,2
567217,organization,1
160,organization,9
8226730,organization,1
911243414,organization,1
408119,organization,4
48259,organization,2
55301,organization,1
Game Thiefâ,Uncategorized,1
82462633,organization,1
Pacific Island States United Statesâ,Uncategorized,1
Coastal Crusaders Kga Worldwide,company,1
Seashell Sanctum SRL Transport,company,1
Tiao piao AG Delivery,company,1
âeared sealsâ,Uncategorized,2
650749,organization,3
53792,organization,1
30141220,organization,1
90192265,organization,1
âdiscriminationâ,Uncategorized,1
48115,organization,1
903311212,organization,51
ItaquaÃ,Uncategorized,6
47698,organization,1
199,organization,1
23990411,organization,7
75471,organization,8
Manipur Market AG Consultants,company,1
34153143,organization,1
721436,organization,1
Seafreeze Ltd,Uncategorized,2
36033030,organization,2
19471,organization,2
461541,organization,2
âProPublicaâ,Uncategorized,1
2820033,organization,1
762165,organization,1
4962642,organization,7
941899076,organization,5
3857345,organization,1
Â£800,Uncategorized,1
99233,organization,2
55394387,organization,1
80737369,organization,2
81,organization,1
637608,organization,1
6980,organization,2
33118036,organization,1
88813246,organization,1
77,organization,18
303934,organization,1
34757443,organization,2
1576352,organization,2
34285153,organization,1
40974,organization,1
Diao yu bi sai Tidal BV Export,company,1
74505,organization,2
7575,organization,1
8967466,organization,1
3308429,organization,1
204,organization,3
âbossesâ,Uncategorized,2
408603,organization,1
369,organization,4
6204,organization,1
576618,organization,1
âdimersalâ,Uncategorized,1
âSaikoâ,Uncategorized,1
3342,organization,1
354,organization,1
280094,organization,1
40676,organization,1
David Limited Liability Company,company,1
1998,organization,1
903574229,organization,1
Kariba Dam  Corporation Nautical,company,1
Benton Ltd. Liability Co,company,5
The Salty Pearl River S.p.A. Export,company,1
9237588,organization,2
Punjab Market Marine sanctuary ship,company,1
322202416,organization,1
813,organization,1
93252,organization,2
6460,organization,1
8980454,organization,2
6659,organization,1
464454263,organization,3
4942,organization,1
923825740,organization,1
Triton Navigation Corp,Uncategorized,2
Pontus Navigation Corp,Uncategorized,2
401289940,organization,2
2357762,organization,1
âHSIâ,Uncategorized,1
âNYPDâ,Uncategorized,1
1625166,organization,1
Rajasthan GmbH & Co. KG,company,2
858,organization,2
76030,organization,1
1968776,organization,2
845,organization,1
382825160,organization,1
8325,organization,1
299,organization,2
298930,organization,7
âtoppyâ,Uncategorized,5
âstagâ,Uncategorized,1
2362,organization,1
9979944,organization,7
519852438,organization,2
âlegitimateâ,Uncategorized,2
463,organization,1
762,organization,2
Easterlingsâ,Uncategorized,2
82379,organization,1
su y CJSC Canal,company,6
6548672,organization,1
3896,organization,3
798,organization,1
245484,organization,1
61679,organization,1
1983793,organization,1
402,organization,1
218148,organization,1
ââ¯The,Uncategorized,1
1039,organization,1
32,organization,1
8541598,organization,4
5362,organization,3
5276019,organization,1
111856,organization,1
43223,organization,1
765078,organization,1
172279392,organization,1
858773,organization,3
4852,organization,1
Goliathâ,Uncategorized,1
estÃ,Uncategorized,1
maÃ±ana asÃ,Uncategorized,1
4356,organization,1
8453714,organization,1
29167335,organization,1
RPG,Uncategorized,4
5700,organization,2
93380783,organization,4
âRestrainâ,Uncategorized,2
âExploitationâ,Uncategorized,2
Feb,Uncategorized,3
164,organization,1
âdirectlyâ,Uncategorized,2
âPerlaâ,Uncategorized,1
7674777,organization,2
Mexicoââ,Uncategorized,1
âenticedâ,Uncategorized,1
66820,organization,1
Ð°Ñ,Uncategorized,1
ÐœÐ° Ð±ÐŸÑÑ,Uncategorized,1
Ð£ÐºÑÐ°ÑÐœÐž,Uncategorized,1
âCompromiseâ,Uncategorized,1
âtheoriginaldragoncoveâ,Uncategorized,2
740111283,organization,1
âoriginaldragoncoveâ,Uncategorized,2
775841,organization,1
âNinoâ,Uncategorized,2
Texasâ,Uncategorized,1
46901627,organization,1
46319064,organization,5
PÃ,Uncategorized,2
âcommissionâ,Uncategorized,1
5007554,organization,4
2912063,organization,1
Greek Sea Bream and Son's,company,1
558,organization,2
âundeniableâ,Uncategorized,1
55674,organization,3
âinconsistenciesâ,Uncategorized,2
540613204,organization,1
662290,organization,3
âDesbloqueio pÃ,Uncategorized,4
309535101,organization,1
tio MPFâs Special Action Group Combat Organized Crime,Uncategorized,1
51354617,organization,1
869882172,organization,1
ExportaÃ,Uncategorized,1
400,organization,1
5508215,organization,1
SeaSelect Foods Corp Dry dock,company,1
Meridaââ,Uncategorized,1
8251198,organization,1
âBanderaâ,Uncategorized,4
âPadre,Uncategorized,4
8269,organization,1
64545,organization,1
Â£10,Uncategorized,1
3641,organization,1
75360,organization,1
Pitâ,Uncategorized,1
3868221,organization,1
79521144,organization,4
âbrokerâ,Uncategorized,2
198,organization,1
11353,organization,1
719,organization,2
68273,organization,1
649,organization,2
96049794,organization,1
507470,organization,1
18404231,organization,1
386,organization,1
âsatisfactoryâ,Uncategorized,1
5199,organization,1
âoverwhelmedâ,Uncategorized,1
135338,organization,1
95850,organization,2
âHelpâ,Uncategorized,1
86034444,organization,1
âsleepy,Uncategorized,2
Kagera River  GmbH & Co. KG Delivery,company,1
16,Uncategorized,6
313441257,organization,1
222079892,organization,1
14952,organization,1
âEQUIPMENTâ,Uncategorized,2
353642,organization,2
âshabuâ,Uncategorized,2
7680453,organization,1
353,organization,2
9507963,organization,2
25222883,organization,1
Gaosheng Biotechnology Co,Uncategorized,1
âshark finâ,Uncategorized,1
Mar de Estrellas Oyj Carriers,company,1
2030â,Uncategorized,1
Ancla Azul Company Solutions,Uncategorized,3
Federated,Uncategorized,2
Playa de la Felicidad Oyj Cargo,Uncategorized,1
l y S.A. de C.V. International,Uncategorized,2
SeaSpray Wave SRL Solutions,Uncategorized,43
Ocean Fisheries Llc,Uncategorized,53
Fisherman'sFriend Charter Boat S.A. de C.V. Freight ,Uncategorized,2
Master,Uncategorized,3
Turkish Mussels Ltd. Liability Co Marine biology,Uncategorized,4
Sonia Fisheries Pvt,Uncategorized,12
Pesquera,Uncategorized,1
DOFâs,Uncategorized,3
Irish Sea Seaside GmbH & Co. KG Distribution,Uncategorized,4
Estrella de Coral Ltd. Corporation Logistics,Uncategorized,24
Gulf of Guinea  Corporation,Uncategorized,1
âDo,Uncategorized,1
Dry Creek S.p.A. Overseas,Uncategorized,1
Kerala Market Limited Liability Company,Uncategorized,2
Pasture Petfoods New Zealand Ltd,Uncategorized,5
âIllegal,Uncategorized,1
Sea Products,Uncategorized,1
W Appliance,Uncategorized,2
Finest Ltd. Liability Co United,Uncategorized,2
Ex-Lax,Uncategorized,1
Jammu & Kashmir Limited Liability Company Delivery,Uncategorized,1
Mar de la Vida OJSC,Uncategorized,4
America,Uncategorized,1
Portuguese Octopus S.p.A. Cargo,Uncategorized,1
Surf and Sand Ltd. Liability Co,Uncategorized,1
Seafood,Uncategorized,1
Caribbean,Uncategorized,3
Fisheries Inc,Uncategorized,1
Bergmanâs,Uncategorized,1
Andhra Pradesh  S.A. de C.V.,Uncategorized,1
Moo,Uncategorized,1
Eva,Uncategorized,2
Mar de Cristalino Co,Uncategorized,2
itâs,Uncategorized,2
Innovative,Uncategorized,1
Lake Malawi SE Freight ,Uncategorized,4
Yu gan BV Investment,Uncategorized,3
Okavango Delta Seaside Limited Liability Company Logistics,Uncategorized,1
sh rn y Corporation,Uncategorized,1
Ocean Trawlers,Uncategorized,1
Belgian Scallop Limited Liability Company Krill,Uncategorized,1
Sea Harvest,Uncategorized,2
SMILE,Uncategorized,4
Intrepid Navigators,Uncategorized,1
Blue Venturew,Uncategorized,6
The Salty Dog Tidepool Kga Transport,Uncategorized,3
MeWe Vimeo,Uncategorized,2
Bloomberg,Uncategorized,1
Golden Titana,Uncategorized,2
Edward Ferry SE Transportation,Uncategorized,2
Â£1,Uncategorized,1
Forwading S.A. de C.V.,Uncategorized,4
Ware,Uncategorized,3
Arctic,Uncategorized,1
Aqua Ambassadors Limited Liability Company,Uncategorized,1
Sea Luxe Oceanography Kga Transportation,Uncategorized,1
Mongabayâs,Uncategorized,3
Costa del Mar S.p.A.,Uncategorized,2
Ryabikova,Uncategorized,1
âbracatinga,Uncategorized,1
I6aE01vDFm,Uncategorized,2
âCinder,Uncategorized,1
Kariba Dam  N.V. Brothers,Uncategorized,1
Mitsubishi,Uncategorized,2
The Salty Dog CJSC,Uncategorized,2
Rickard shrimp,Uncategorized,1
Hudsons Bay,Uncategorized,1
Odisha Sea Dry dock LLC Consultants,Uncategorized,3
Phillips,Uncategorized,2
6 Ray LLC Enterprises,Uncategorized,1
Auraâs,Uncategorized,3
drayage companies,Uncategorized,1
Savaneta Corporation Marine life,Uncategorized,1
Fresh On Time Seafood,Uncategorized,1
Supreme GmbH & Co. KG Consulting,Uncategorized,1
Estrella del Mar Pic,Uncategorized,2
Artemovâs Ava Petroleum,Uncategorized,1
One Hongn,Uncategorized,1
Himachal Pradesh Aquatic Plc Brothers,Uncategorized,2
Lake Tanganyika Sea AS Shipping,Uncategorized,4
Nagaland Sea Ltd. Liability Co &,Uncategorized,2
Kores De Venezuela C A,Uncategorized,2
CP World,Uncategorized,1
Yale,Uncategorized,1
Logistics,Uncategorized,1
Anthony Sailboat Co Shipping,Uncategorized,2
Warner,Uncategorized,1
NFTs,Uncategorized,2
Znamensk Eel LLC United,Uncategorized,2
Sisdof/Sinaflor,Uncategorized,1
Spanish Shrimp Sp Brothers,Uncategorized,6
Tajima Industrues Ltd,Uncategorized,1
Sms,Uncategorized,1
Yeezy,Uncategorized,2
W&O Supply,Uncategorized,1
Ocano del Este SE,Uncategorized,1
Spanish Shrimp  Carriers,company,0
12744,organization,0
7775,organization,0
1017141,organization,0
21323516,organization,0
8561,organization,0
853949688,organization,0
650512,organization,0
8,organization,0
172711,organization,0
14253815,organization,0
Saltwater Solitude GmbH & Co. KG,company,0
506,organization,0
4937447,organization,0
2079436,organization,0
589,organization,0
7282284,organization,0
196159,organization,0
755,organization,0
860067396,organization,0
6043477,organization,0
7,organization,0
35,organization,0
55,organization,0
955425,organization,0
132,organization,0
8701038,organization,0
750975,organization,0
95,organization,0
245,organization,0
300668979,organization,0
651,organization,0
265700083,organization,0
86597,organization,0
610,organization,0
4063,organization,0
740523,organization,0
69150209,organization,0
72,organization,0
35881,organization,0
775298545,organization,0
26676370,organization,0
Viento Azul Harbor LLC Investment,company,0
44956,organization,0
21,organization,0
9,organization,0
93873119,organization,0
49494,organization,0
551,organization,0
349,organization,0
97453782,organization,0
71835024,organization,0
78590886,organization,0
7209,organization,0
78135,organization,0
5810,organization,0
704138011,organization,0
84616,organization,0
12731,organization,0
89772543,organization,0
498817,organization,0
2989,organization,0
967,organization,0
185106,organization,0
4348721,organization,0
26,organization,0
237659945,organization,0
1560,organization,0
68703341,organization,0
301,organization,0
9203,organization,0
3878194,organization,0
3009706,organization,0
924,organization,0
449308,organization,0
28,organization,0
23777,organization,0
426469,organization,0
494197,organization,0
200640636,organization,0
144431,organization,0
26261586,organization,0
7361,organization,0
85052185,organization,0
8412071,organization,0
5848,organization,0
15785056,organization,0
26431,organization,0
3785,organization,0
1396,organization,0
9612243,organization,0
737205,organization,0
5705060,organization,0
959,organization,0
Belgian Scallop Ltd. Liability Co,company,0
883320938,organization,0
40690,organization,0
Norwegian Shrimp Ltd. Liability Co,company,0
Rajasthan Limited Liability Company,company,0
4783,organization,0
28064,organization,0
70873,organization,0
Estrella de Mar Ltd. Liability Co,company,0
90562,organization,0
410,organization,0
47562016,organization,0
87940,organization,0
5372,organization,0
304,organization,0
672,organization,0
7950,organization,0
46510923,organization,0
9699687,organization,0
31,organization,0
4526320,organization,0
98748,organization,0
50,organization,0
8327,organization,0
222848436,organization,0
175,organization,0
4146760,organization,0
812740593,organization,0
4764109,organization,0
761,organization,0
9786,organization,0
897,organization,0
2056,organization,0
95219,organization,0
579919,organization,0
262157542,organization,0
46194,organization,0
826273,organization,0
951,organization,0
911,organization,0
9204971,organization,0
2230601,organization,0
36295,organization,0
60253,organization,0
109746,organization,0
13015105,organization,0
Costa del Mar Oyj Hijiki,company,0
Bu yu wang Plc Carriers,company,0
1334578,organization,0
43,organization,0
3601920,organization,0
435978092,organization,0
829,organization,0
995899,organization,0
47249,organization,0
23399545,organization,0
Jammu & Kashmir Ltd Family,company,0
1465792,organization,0
366,organization,0
85946,organization,0
172114,organization,0
657,organization,0
87339689,organization,0
522017227,organization,0
760402,organization,0
737137552,organization,0
11960055,organization,0
25423,organization,0
Delhi ers AS Holdings,company,0
Cape of Good Hope  Oyj,company,0
874124852,organization,0
767368152,organization,0
4382,organization,0
7320771,organization,0
94760735,organization,0
Playa del Mar Caviar,company,0
142,organization,0
3183,organization,0
Estrella de la Costa Inc Transit,company,0
372016989,organization,0
430,organization,0
9209373,organization,0
993137821,organization,0
2421,organization,0
7413,organization,0
937182447,organization,0
859375359,organization,0
7056336,organization,0
36322,organization,0
52,organization,0
42603647,organization,0
8544797,organization,0
5070599,organization,0
8966,organization,0
39,organization,0
927244,organization,0
9166,organization,0
662118,organization,0
45,organization,0
7871,organization,0
7247721,organization,0
22,organization,0
36,organization,0
8609,organization,0
27641046,organization,0
324989705,organization,0
5415,organization,0
9473,organization,0
528,organization,0
Rybachit Limited Liability Company,company,0
890,organization,0
762833,organization,0
7529,organization,0
90254947,organization,0
Playa de Coral GmbH Consultants,company,0
87,organization,0
38111,organization,0
66030248,organization,0
20571414,organization,0
31894357,organization,0
1225,organization,0
363355,organization,0
387674,organization,0
1402,organization,0
25125567,organization,0
33681303,organization,0
2573803,organization,0
56126935,organization,0
138782226,organization,0
1301719,organization,0
496391,organization,0
7539428,organization,0
28379,organization,0
958085,organization,0
Tshikwea Corp Marine sanctuary,company,0
519994690,organization,0
102642,organization,0
7908385,organization,0
691192,organization,0
441,organization,0
111795162,organization,0
621770,organization,0
314,organization,0
13592,organization,0
14,organization,0
491,organization,0
3528,organization,0
43247945,organization,0
842229565,organization,0
41695239,organization,0
489,organization,0
4759,organization,0
833355,organization,0
2983,organization,0
613281364,organization,0
92,organization,0
801809,organization,0
32416483,organization,0
7328,organization,0
OceanicOrigin Foods Co and Son's,company,0
71317,organization,0
852015,organization,0
65,organization,0
58745,organization,0
71755,organization,0
1972868,organization,0
61057213,organization,0
653,organization,0
Ola de la Costa S.A. de C.V.,company,0
18,organization,0
24641639,organization,0
678,organization,0
6393,organization,0
346281879,organization,0
341,organization,0
119411,organization,0
8950,organization,0
265494227,organization,0
21724,organization,0
58623386,organization,0
34252,organization,0
8494294,organization,0
17,organization,0
150674265,organization,0
13,organization,0
3887,organization,0
60693571,organization,0
54073418,organization,0
76568,organization,0
95230042,organization,0
21240092,organization,0
7234,organization,0
6335187,organization,0
695031,organization,0
2508,organization,0
6391,organization,0
23774,organization,0
9992346,organization,0
227,organization,0
39893,organization,0
3782,organization,0
7441,organization,0
58666504,organization,0
70347729,organization,0
116070050,organization,0
613465161,organization,0
2913,organization,0
693436,organization,0
631919,organization,0
8732,organization,0
44396,organization,0
6274,organization,0
615043,organization,0
64124835,organization,0
767,organization,0
67909,organization,0
1012,organization,0
724,organization,0
854,organization,0
977,organization,0
39048624,organization,0
1853970,organization,0
87648111,organization,0
42258,organization,0
506986590,organization,0
7321,organization,0
647724,organization,0
272735814,organization,0
1214936,organization,0
2751,organization,0
71352,organization,0
60806,organization,0
461553,organization,0
538991,organization,0
71,organization,0
Charles OJSC Marine conservation,company,0
Caracola Azul Limited Liability Company,company,0
Viento y Mar BV,company,0
135024,organization,0
759,organization,0
OceanFront Foods Co Beach,company,0
23636990,organization,0
996,organization,0
81661977,organization,0
216,organization,0
9977227,organization,0
64365043,organization,0
458785,organization,0
42,organization,0
4258240,organization,0
29481,organization,0
6126134,organization,0
595038316,organization,0
673431,organization,0
7480,organization,0
4769248,organization,0
3015,organization,0
2679,organization,0
868,organization,0
99985383,organization,0
298,organization,0
46,organization,0
Mar del Norte Ferry,company,0
122245,organization,0
4946,organization,0
74211169,organization,0
Romero Oyster NV Carriers,company,0
3553,organization,0
72875,organization,0
938816,organization,0
5469,organization,0
4679,organization,0
Cape Verde Islands Oyj,company,0
11,organization,0
30041,organization,0
468511,organization,0
86,organization,0
60774,organization,0
47,organization,0
2114,organization,0
34020206,organization,0
Fin Flair Pic Delivery,company,0
683962,organization,0
760219951,organization,0
734121719,organization,0
9357541,organization,0
87278,organization,0
75,organization,0
9280,organization,0
604905,organization,0
784221,organization,0
5235138,organization,0
5680682,organization,0
307,organization,0
900,organization,0
497,organization,0
7892,organization,0
8513,organization,0
1415,organization,0
3433,organization,0
89526932,organization,0
26978247,organization,0
245658,organization,0
552027385,organization,0
4877,organization,0
555,organization,0
683113035,organization,0
10880329,organization,0
82408558,organization,0
5312744,organization,0
8112222,organization,0
Shona Barracuda AB Worldwide,company,0
415053,organization,0
1559,organization,0
495035052,organization,0
25,organization,0
96,organization,0
60910422,organization,0
285351,organization,0
75399,organization,0
720,organization,0
779,organization,0
2673,organization,0
6185842,organization,0
428,organization,0
700,organization,0
520,organization,0
85,organization,0
9636,organization,0
449,organization,0
2466,organization,0
449820,organization,0
6406914,organization,0
76609426,organization,0
933754160,organization,0
41713,organization,0
900338,organization,0
665912557,organization,0
1341798,organization,0
23299,organization,0
614,organization,0
802775,organization,0
5688339,organization,0
203,organization,0
99661834,organization,0
9838,organization,0
848165,organization,0
612,organization,0
379284134,organization,0
945632766,organization,0
112156579,organization,0
64338295,organization,0
73921,organization,0
Khundu Ltd. Liability Co,company,0
327277616,organization,0
5337,organization,0
5383294,organization,0
9238420,organization,0
73166320,organization,0
13249468,organization,0
682313,organization,0
58877070,organization,0
42990314,organization,0
1338687,organization,0
507684,organization,0
1765605,organization,0
95743666,organization,0
86117,organization,0
94361818,organization,0
4657860,organization,0
3394552,organization,0
618,organization,0
39995740,organization,0
806,organization,0
93,organization,0
6107715,organization,0
2610,organization,0
Madhya Pradesh Market Pic Transportation,company,0
34731154,organization,0
970786,organization,0
418382,organization,0
16927047,organization,0
6471708,organization,0
520673,organization,0
1252007,organization,0
565431,organization,0
15758645,organization,0
7490484,organization,0
61,organization,0
908,organization,0
2278,organization,0
3731,organization,0
120,organization,0
2422788,organization,0
268393514,organization,0
55242,organization,0
637,organization,0
9697,organization,0
620019,organization,0
45361487,organization,0
949,organization,0
500633954,organization,0
62343,organization,0
688224,organization,0
570683,organization,0
4532329,organization,0
98631,organization,0
2658,organization,0
5698,organization,0
945,organization,0
Tamil Nadu Ltd. Liability Co Express,company,0
669,organization,0
95064,organization,0
6567453,organization,0
47261702,organization,0
730397695,organization,0
4086,organization,0
822596165,organization,0
5421,organization,0
Pez Dorado BV Logistics,company,0
4183208,organization,0
969368807,organization,0
80276549,organization,0
89,organization,0
35282,organization,0
62,organization,0
44326992,organization,0
869422192,organization,0
542341,organization,0
4627,organization,0
1719,organization,0
8876768,organization,0
444,organization,0
64778548,organization,0
493641959,organization,0
534,organization,0
884332,organization,0
982519647,organization,0
1354,organization,0
5865,organization,0
Malawi Rift  Holdings Navigation,company,0
Baha de Coral OJSC Marine,company,0
54726,organization,0
52193,organization,0
697844686,organization,0
1555,organization,0
3669166,organization,0
483398,organization,0
2234557,organization,0
7125,organization,0
42978392,organization,0
871,organization,0
9098,organization,0
Nutica del Sol AG,company,0
2793,organization,0
437212,organization,0
4396031,organization,0
Simien Mountains  Company Delivery,company,0
432526990,organization,0
7260903,organization,0
800578,organization,0
254340176,organization,0
4332001,organization,0
Estrella del Mar Inc Merchants,company,0
60017,organization,0
381051499,organization,0
110727,organization,0
su y Worldwide Shark,company,0
4205,organization,0
16306,organization,0
80774,organization,0
8350379,organization,0
59022,organization,0
88295922,organization,0
7830,organization,0
54055,organization,0
Tshikele Ltd. Liability Co,company,0
553828215,organization,0
663,organization,0
81211950,organization,0
52134252,organization,0
679399,organization,0
3436524,organization,0
67716449,organization,0
4406,organization,0
7682,organization,0
33,organization,0
739622,organization,0
7675191,organization,0
233,organization,0
Dutch Herring Inc Transportation,company,0
6070651,organization,0
3129,organization,0
8503254,organization,0
914,organization,0
518323906,organization,0
773,organization,0
93865,organization,0
8302,organization,0
45620,organization,0
Jammu & Kashmir ship,company,0
8814,organization,0
139,organization,0
25851337,organization,0
36506,organization,0
90831,organization,0
49525439,organization,0
23837996,organization,0
82207154,organization,0
3657479,organization,0
2810009,organization,0
129461,organization,0
Congo Rapids  Marine sanctuary GmbH & Co. KG Marine sanctuary,company,0
7443,organization,0
803490608,organization,0
9550,organization,0
Danish Lobster Limited Liability Company Brothers,company,0
82651,organization,0
72630,organization,0
9411155,organization,0
17353795,organization,0
352,organization,0
Lachlan Enterprises Coral Reef,company,0
109071721,organization,0
Gambia River  GmbH & Co. KG and,company,0
2430986,organization,0
996592,organization,0
92533,organization,0
Olas del Sur Inc,company,0
327572963,organization,0
438,organization,0
7914,organization,0
151159036,organization,0
3383,organization,0
Pregolya Delivery Cruise ship,company,0
3328058,organization,0
176729,organization,0
958644,organization,0
6338,organization,0
200,organization,0
28138,organization,0
9768,organization,0
353257,organization,0
31368,organization,0
51470600,organization,0
Sudd Swamp  Wave AS Freight ,company,0
74026296,organization,0
59662085,organization,0
Ancla del Mar Kga,company,0
455617,organization,0
83241316,organization,0
940161722,organization,0
148766,organization,0
567857349,organization,0
98,organization,0
8127,organization,0
18668050,organization,0
39033859,organization,0
62532,organization,0
649009867,organization,0
43454,organization,0
359755772,organization,0
4711730,organization,0
959344,organization,0
James Limited Liability Company Logistics,company,0
951187691,organization,0
18403617,organization,0
365,organization,0
404,organization,0
33560,organization,0
7810241,organization,0
34487,organization,0
83951569,organization,0
4524860,organization,0
24996,organization,0
90411963,organization,0
25777,organization,0
825,organization,0
63548588,organization,0
69007292,organization,0
David Seabed Inc Consulting,company,0
28890617,organization,0
492220197,organization,0
14636,organization,0
207618139,organization,0
3874,organization,0
91810266,organization,0
19285,organization,0
Playa del Cielo  Marine,company,0
99,organization,0
8832615,organization,0
419,organization,0
33210,organization,0
hi xng BV Carriers,company,0
72092,organization,0
511915273,organization,0
435,organization,0
71608,organization,0
442,organization,0
826749274,organization,0
753,organization,0
687878,organization,0
368951,organization,0
6071877,organization,0
422,organization,0
753589537,organization,0
Spanish Co & Son's,company,0
Portuguese Sardines GmbH & Co. KG Line,company,0
Lake Nyasa Ltd. Corporation,company,0
3740,organization,0
440,organization,0
601882545,organization,0
88651,organization,0
353361057,organization,0
35829746,organization,0
214883455,organization,0
2919,organization,0
1518,organization,0
9820523,organization,0
15,organization,0
805275,organization,0
715490,organization,0
6457,organization,0
6513816,organization,0
43797101,organization,0
535955126,organization,0
8211361,organization,0
Scania Seafaring SRL Express,company,0
Estrella del Sol LLC,company,0
777,organization,0
868626239,organization,0
573756802,organization,0
186,organization,0
812137,organization,0
5334,organization,0
613556,organization,0
979294,organization,0
5246016,organization,0
64863263,organization,0
Danish Lobster Ltd. Liability Co,company,0
36868,organization,0
3127062,organization,0
3369,organization,0
30880,organization,0
Lake Manyara  SRL Brothers,company,0
64667049,organization,0
1303,organization,0
67261634,organization,0
344,organization,0
60197861,organization,0
8978,organization,0
70720996,organization,0
95291001,organization,0
42627990,organization,0
1263250,organization,0
FishEye International,organization,0
AquaFresh Foods CJSC -,company,0
