country,count
Afarivaria,1
Alverossia,20
Alverovia,1
Andenovia,5
Anderia del Mar,5
Ariuzima,13
Arreciviento,49
Arvaros,7
Arvekalia,3
Azurionix,9
Baziuzim,2
Brindisola,35
Brindivaria,26
Calabrand,17
Chrysazul,1
Coral Solis,27
Coralada,28
Coraland,1
Coralmarica,164
Faraluna,56
Galduzim,11
Gavanovia,47
Helixia,10
Helvoris,1
Icarnia,21
Imazam,1
Isla Solmar,8
Islavaragon,1
Islavaria,2
Isliandor,209
Ivarisia,2
Jiraputra,11
Kethanor,1
Kethilim,34
Khamposa,2
Khamseena,1
Kilivaria,1
Kondanovia,104
Kondarica,1
Kondarivakia,1
Korvelonia,19
Kuzalanda,2
Kuzima,1
Lumakari,1
Lumindoria,36
Luminkind,10
Mango del Oro,7
Marebak,742
Marifada,22
Mawalara,2
Mawandia,5
Mawazam,76
Merigrad,35
Morolaria,1
Myriadonia,1
Nalakimani,1
Nalakond,177
Nalaloria,12
Naraliket,1
Novarctica,1
Novarcticaa,4
Nyxonix,1
Oceanterra,2
Oceanus,2143
Orvietola,1
Osterivaria,11
Osterivaro,5
Playa Solis,16
Polarinda,3
Polarisdom,1
Portovia,1
Puerto del Mar,74
Puerto Sol,170
Quirinelle,2
Quornova,6
Rio Isla,109
Rio Solovia,3
Riodelsol,57
Rivenisla,1
Rosvandor,3
Sirenareef,11
Sol y Oceana,92
Solovarossa,31
Solterrix,1
Syrithania,1
Talandria,26
Thessalandia,43
Utoparadia,11
Utoporiana,128
Uzifrica,5
Uziland,3
Valtalmo,3
Vesperanda,40
Vesperlandia,1
Vientoro,2
Wysterion,1
Yggdrasonia,6
Zambarka,1
Zawalinda,73
ZH,22439
missing,33081